timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681660653204,523,https://eticket.railway.gov.bd/en-22,200,OK,Thread Group 1-1,text,true,,12098,1409,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/pay.svg,76,0,0
1681660653204,76,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,375,865,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/pay.svg,76,0,0
1681660653281,446,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,text,true,,11723,544,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/pay.svg,446,0,0
1681660653728,295,https://eticket.railway.gov.bd/en-23,200,OK,Thread Group 1-1,bin,true,,67442,1451,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/instruction-secion-image.png,75,0,0
1681660653728,75,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,396,886,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/instruction-secion-image.png,75,0,0
1681660653804,219,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,bin,true,,67046,565,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/instruction-secion-image.png,128,0,0
1681660653798,192,https://eticket.railway.gov.bd/en-24,200,OK,Thread Group 1-1,bin,true,,1916,1413,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/bkash.png,76,0,0
1681660653798,76,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,377,867,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/bkash.png,76,0,0
1681660653874,116,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,bin,true,,1539,546,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/bkash.png,116,0,0
1681660653827,202,https://eticket.railway.gov.bd/en-25,200,OK,Thread Group 1-1,bin,true,,3651,1419,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/nagad-32.png,75,0,0
1681660653827,75,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,380,870,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/nagad-32.png,75,0,0
1681660653902,127,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-5,bin,true,,3271,549,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/nagad-32.png,127,0,0
1681660653845,564,https://eticket.railway.gov.bd/en-26,200,OK,Thread Group 1-1,text,true,,35440,1415,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/rocket.svg,74,0,0
1681660653845,74,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,378,868,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/rocket.svg,74,0,0
1681660653920,489,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-8,text,true,,35062,547,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/rocket.svg,293,0,0
1681660653990,273,https://eticket.railway.gov.bd/en-27,200,OK,Thread Group 1-1,bin,true,,2442,1425,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/master-card.png,75,0,0
1681660653990,75,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,383,873,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/master-card.png,75,0,0
1681660654065,198,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,bin,true,,2059,552,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/master-card.png,198,0,0
1681660654024,356,https://eticket.railway.gov.bd/en-28,200,OK,Thread Group 1-1,bin,true,,2819,1411,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/visa.png,76,0,0
1681660654024,76,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,376,866,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/visa.png,76,0,0
1681660654100,280,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,bin,true,,2443,545,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/visa.png,280,0,0
1681660654030,374,https://eticket.railway.gov.bd/en-29,200,OK,Thread Group 1-1,text,true,,6630,1425,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/nexus-debit.svg,77,0,0
1681660654030,77,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,383,873,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/nexus-debit.svg,77,0,0
1681660654107,297,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-5,text,true,,6247,552,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/nexus-debit.svg,297,0,0
1681660654264,272,https://eticket.railway.gov.bd/en-30,200,OK,Thread Group 1-1,text,true,,1240,1413,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/icon/cross.svg,95,0,0
1681660654264,95,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,377,867,0,0,https://eticket.railway.gov.bd/v2/assets/img/icon/cross.svg,95,0,0
1681660654360,176,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,text,true,,863,546,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/icon/cross.svg,176,0,46
